nama_penyakit,tipe_gejala
busuk hitam,Tanaman saya mengalami masalah busuk hitam. Buah-buahan terlihat busuk dan sering kali tidak dapat dipanen dengan baik. Apa yang seharusnya saya lakukan?
busuk basah,Daun tanaman saya terinfeksi busuk basah. Saya melihat beberapa bercak coklat dan daun tampak terinfeksi. Bagaimana cara mengatasi masalah ini
busuk hati/jantung sawi,Sawi saya terkena busuk hati atau jantung. Bagian dalam tanaman tampak terinfeksi dan pertumbuhan tanaman terhambat. Apakah ada solusi untuk penyakit ini?
mosaik,Tanaman saya menunjukkan gejala mosaik. Daunnya memiliki pola warna yang aneh dan tampak tidak sehat. Bagaimana cara mengobati tanaman yang terkena mosaik?
busuk bateri,Tanaman saya mengalami busuk bakteri. Bagian-bagian tertentu terlihat lembek dan terinfeksi. Apa yang seharusnya saya lakukan untuk mencegah penyebaran lebih lanjut?
bercak daun stemphylium,Daun tanaman saya ditutupi oleh bercak-becak coklat dari stemphylium. Apakah ada cara alami untuk mengendalikan penyakit ini tanpa menggunakan bahan kimia?
busuk daun choanephora,Tanaman saya mengalami busuk daun Choanephora pada buahnya. Sejumlah besar buah terlihat busuk. Bagaimana cara menghentikan penyebaran penyakit ini?
busuk daun abu,Daun tanaman saya tampak terinfeksi busuk daun abu. Saya khawatir akan efeknya pada pertumbuhan tanaman. Apa yang sebaiknya dilakukan?
bercak daun ,Tanaman saya memiliki banyak bercak pada daunnya. Saya tidak yakin penyebabnya dan bagaimana cara mengatasinya. Apa saran Anda?
busuk rhizoctonia,"Akarnya terlihat busuk dan hitam, mungkin karena busuk Rhizoctonia. Apakah ada cara untuk menyelamatkan tanaman saya dari kerusakan lebih lanjut?"
